FID	UMAP1	UMAP2
Mali_Fulani_InnerDelta:FML02	-6.949706898	5.712633211
Mali_Fulani_InnerDelta:FML03	-6.537888058	11.82586707
Mali_Fulani_InnerDelta:FML04	-5.503568625	12.48801744
Mali_Fulani_InnerDelta:FML06	-6.727397142	10.78344683
Mali_Fulani_InnerDelta:FML07	-6.245706245	10.18968159
Mali_Fulani_InnerDelta:FML08	-5.33103108	10.88633388
Mali_Fulani_InnerDelta:FML10	-5.318968529	12.40494365
Mali_Fulani_InnerDelta:FML11	-5.556824418	11.61295111
Mali_Fulani_InnerDelta:FML13	-5.896087462	11.41566518
Mali_Fulani_InnerDelta:FML16	-5.633990934	13.03121176
Mali_Fulani_InnerDelta:FML18	-5.757340559	11.93607267
Mali_Fulani_InnerDelta:FML21	-6.188274781	12.07525034
Mali_Fulani_InnerDelta:FML24	-6.18446142	11.50809052
Mali_Fulani_InnerDelta:FML27	-6.408903082	10.59198197
Mali_Fulani_InnerDelta:FML31	-6.259583338	12.43888441
Mali_Fulani_InnerDelta:FML33	-5.657307189	9.850481975
Mali_Fulani_Diafarabe:FDia05	-6.182181271	10.6953756
Mali_Fulani_Diafarabe:FDia06	-5.57247364	8.86511916
Mali_Fulani_Diafarabe:FDia07	-4.940676304	7.7708834
Mali_Fulani_Diafarabe:FDia08	-7.653851759	5.015651375
Mali_Fulani_Diafarabe:FDia09	-4.904132658	9.291866284
Mali_Fulani_Diafarabe:FDia11	-4.992843398	7.857010981
Mali_Fulani_Diafarabe:FDia14	-6.323459102	11.76882024
Mali_Fulani_Diafarabe:FDia15	-5.279672414	8.218000755
Mali_Fulani_Diafarabe:FDia16	-5.631085443	8.648136044
Mali_Fulani_Diafarabe:FDia17	-5.63305517	9.156896577
Mali_Fulani_Diafarabe:FDia22	-5.495973436	10.28789973
Mali_Fulani_Diafarabe:FDia25	-6.39091877	6.098921736
Mali_Fulani_Diafarabe:FDia27	-5.767899934	8.913877386
Mali_Fulani_Diafarabe:FDia31	-4.978435024	7.793300102
Mali_Fulani_Diafarabe:FDia32	-6.967284921	10.91847847
Mali_Fulani_Diafarabe:FDia34	-6.517201936	11.15549428
Mali_Fulani_Diafarabe:FDia36	-5.744159048	9.885848966
Mali_Fulani_Diafarabe:FDia37	-5.463124376	7.080593835
Mali_Fulani_Diafarabe:FDia38	-6.599116211	7.477583434
Mali_Fulani_Diafarabe:FDia39	-7.460469276	4.456247804
Mali_Fulani_Diafarabe:FDia40	-5.082322277	10.81937809
Mali_Fulani_Diafarabe:FDia41	-6.260324899	8.269066773
BurkinaFaso_Fulani_Ziniare:FZR01	-4.818383207	8.057342536
BurkinaFaso_Fulani_Ziniare:FZR02	-6.282035026	6.234676156
BurkinaFaso_Fulani_Ziniare:FZR03	-6.043747999	6.484350734
BurkinaFaso_Fulani_Ziniare:FZR04	-6.672533329	6.43512463
BurkinaFaso_Fulani_Ziniare:FZR05	-6.983400046	5.87902461
BurkinaFaso_Fulani_Ziniare:FZR06	-4.785339513	8.272230977
BurkinaFaso_Fulani_Ziniare:FZR07	-7.078332445	5.62877584
BurkinaFaso_Fulani_Ziniare:FZR08	-4.787088015	7.287353698
BurkinaFaso_Fulani_Ziniare:FZR09	-6.723664822	6.454821032
BurkinaFaso_Fulani_Ziniare:FZR10	-4.749759433	8.206028227
BurkinaFaso_Fulani_Ziniare:FZR11	-6.984357285	6.269417205
BurkinaFaso_Fulani_Ziniare:FZR12	-5.38795972	7.779545205
BurkinaFaso_Fulani_Ziniare:FZR13	-4.550362297	12.39729082
BurkinaFaso_Fulani_Ziniare:FZR14	-5.635497068	12.59436405
BurkinaFaso_Fulani_Ziniare:FZR15	-5.974758785	12.17614221
BurkinaFaso_Fulani_Ziniare:FZR16	-4.017457001	8.680096815
