Population,Ind,F_ROH,Mean_ROH_size,Sum_short_ROH,Sum_long_ROH,Total_length_ROH,class_1_ROH,class_2_ROH,class_3_ROH,class_4_ROH,class_5_ROH,class_6_ROH,class_7_ROH
Mali_Fulani_InnerDelta,FML18,0.061934812,10.92967271,139.447765,185.804436,0.017,65.574263,58.44692,18.80652,14.190751,11.643655,30.376376,11.168502
Mali_Fulani_InnerDelta,FML21,0.051999158,5.777684259,153.184979,155.997475,0.027,70.94185,56.789232,37.798321,26.967989,18.134129,15.71322,21.482046
Mali_Fulani_InnerDelta,FML24,0.073888504,9.236063042,133.952884,221.665513,0.024,58.580725,54.11908,30.264021,23.942343,10.283035,33.398017,12.36281
Mali_Fulani_InnerDelta,FML27,0.019197734,2.742533476,137.990193,57.593203,0.021,60.084685,60.222943,33.22892,23.12778,18.919068,NA,NA
Mali_Fulani_InnerDelta,FML31,0.079393922,7.005346088,132.093757,238.181767,0.034,63.375597,49.117527,29.494077,43.759858,26.122061,16.016439,NA
Mali_Fulani_InnerDelta,FML33,0.011891673,2.548215714,142.884272,35.67502,0.014,56.811821,60.470077,32.18138,19.682217,9.413797,NA,NA
Mali_Fulani_Diafarabe,FDia05,0.028705541,3.914392,141.84037,86.116624,0.022,68.161398,54.471921,27.534345,28.713802,8.628352,28.881635,11.565541
Mali_Fulani_Diafarabe,FDia06,0.022066753,3.894132941,136.836383,66.20026,0.017,63.129691,56.122304,27.781056,14.085877,15.040814,15.065251,11.81165
Mali_Fulani_Diafarabe,FDia07,0.009126601,2.489073,136.012453,27.379803,0.011,67.136802,50.364488,25.342867,15.416938,5.131161,NA,NA
Mali_Fulani_Diafarabe,FDia08,0.001120695,1.6810425,116.4929,3.362085,0.002,52.260775,48.837115,18.757095,NA,NA,NA,NA
Mali_Fulani_Diafarabe,FDia09,0.015969567,2.994293813,144.853918,47.908701,0.016,68.128758,58.271762,27.2172,25.190031,NA,13.954868,NA
Mali_Fulani_Diafarabe,FDia11,0.024070849,6.564776909,134.200154,72.212546,0.011,62.538577,61.076809,19.438492,2.235604,NA,18.122909,21.751836
Mali_Fulani_Diafarabe,FDia14,0.024258116,2.799013385,157.734964,72.774348,0.026,72.698038,66.160957,30.836381,44.90078,9.835341,6.077815,NA
